PTSDpubs ID,Study ID,Analysis Type,Treatment Name,Standardized Treatment Name,Intervention Group,Method for Handling Missing Data,Statistical Analysis Method,Assessment Point,Diagnostic Change Definition Number,Diagnostic Change Definition,Percent Achieved Diagnostic Change,Diagnostic Change Numerator for Percent Achieved,Diagnostic Change Denominator for Percent Achieved,Clinically Meaningful Response Definition Number,Clinically Meaningful Response Definition,Percent Achieved Clinically Meaningful Response,Clinically Meaningful Response Numerator for Percent Achieved,Clinically Meaningful Response Denominator for Percent Achieved,Unique Row Identifier
25807,bryant2003,Completer,Prolonged Imaginal Exposure with Cognitive Restructuring,Trauma-focused cognitive behavioral therapy (TF-CBT),A,,,26,1,Not meeting criteria for PTSD according to CAPS-2,0.8,,,1,CAPS intensity score plus CAPS frequency score <19 and BDI-2 score <10,0.6,,,bryant2003_Completer_A_26_1
25807,bryant2003,ITT,Prolonged Imaginal Exposure with Cognitive Restructuring,Trauma-focused cognitive behavioral therapy (TF-CBT),A,,,0,1,Not meeting criteria for PTSD according to CAPS-2,0.65,,,,,,,,bryant2003_ITT_A_0_1
25807,bryant2003,ITT,Prolonged Imaginal Exposure with Cognitive Restructuring,Trauma-focused cognitive behavioral therapy (TF-CBT),A,,,26,1,Not meeting criteria for PTSD according to CAPS-2,0.6,,,1,CAPS intensity score plus CAPS frequency score <19 and BDI-2 score <10,0.4,,,bryant2003_ITT_A_26_1
25807,bryant2003,Completer,Imaginal Exposure,Imaginal exposure,B,,,0,1,Not meeting criteria for PTSD according to CAPS-2,0.67,,,,,,,,bryant2003_Completer_B_0_1
25807,bryant2003,Completer,Imaginal Exposure,Imaginal exposure,B,,,26,1,Not meeting criteria for PTSD according to CAPS-2,0.67,,,1,CAPS intensity score plus CAPS frequency score <19 and BDI-2 score <10,0.2,,,bryant2003_Completer_B_26_1
25807,bryant2003,ITT,Imaginal Exposure,Imaginal exposure,B,,,0,1,Not meeting criteria for PTSD according to CAPS-2,0.5,,,,,,,,bryant2003_ITT_B_0_1
25807,bryant2003,ITT,Imaginal Exposure,Imaginal exposure,B,,,26,1,Not meeting criteria for PTSD according to CAPS-2,0.5,,,1,CAPS intensity score plus CAPS frequency score <19 and BDI-2 score <10,0.15,,,bryant2003_ITT_B_26_1
25807,bryant2003,Completer,Supportive Counseling,Supportive counseling,C,,,0,1,Not meeting criteria for PTSD according to CAPS-2,0.4,,,,,,,,bryant2003_Completer_C_0_1
25807,bryant2003,Completer,Supportive Counseling,Supportive counseling,C,,,26,1,Not meeting criteria for PTSD according to CAPS-2,0.27,,,1,CAPS intensity score plus CAPS frequency score <19 and BDI-2 score <10,0,,,bryant2003_Completer_C_26_1
25807,bryant2003,ITT,Supportive Counseling,Supportive counseling,C,,,0,1,Not meeting criteria for PTSD according to CAPS-2,0.33,,,,,,,,bryant2003_ITT_C_0_1
25807,bryant2003,ITT,Supportive Counseling,Supportive counseling,C,,,26,1,Not meeting criteria for PTSD according to CAPS-2,0.22,,,1,CAPS intensity score plus CAPS frequency score <19 and BDI-2 score <10,0,,,bryant2003_ITT_C_26_1
31196,bryant2008,Completer,Imaginal Exposure,Imaginal exposure,A,,,0,1,CAPS <19,0.48,,,,,,,,bryant2008_Completer_A_0_1
31196,bryant2008,Completer,Imaginal Exposure,Imaginal exposure,A,,,26,1,CAPS <19,0.57,,,1,CAPS <19 and BDI <10,0.14,,,bryant2008_Completer_A_26_1
31196,bryant2008,Completer,Imaginal Exposure,Imaginal exposure,A,,,26,,,,,,2,CAPS <45,0.62,,,bryant2008_Completer_A_26_2
31196,bryant2008,ITT,Imaginal Exposure,Imaginal exposure,A,,,0,1,CAPS <19,0.37,,,,,,,,bryant2008_ITT_A_0_1
31196,bryant2008,ITT,Imaginal Exposure,Imaginal exposure,A,,,26,1,CAPS <19,0.25,,,1,CAPS <19 and BDI <10,0.1,,,bryant2008_ITT_A_26_1
31196,bryant2008,ITT,Imaginal Exposure,Imaginal exposure,A,,,26,,,,,,2,CAPS <45,0.42,,,bryant2008_ITT_A_26_2
31196,bryant2008,Completer,In vivo exposure,In vivo exposure,B,,,0,1,CAPS <19,0.45,,,,,,,,bryant2008_Completer_B_0_1
31196,bryant2008,Completer,In vivo exposure,In vivo exposure,B,,,26,1,CAPS <19,0.38,,,1,CAPS <19 and BDI <10,0.24,,,bryant2008_Completer_B_26_1
31196,bryant2008,Completer,In vivo exposure,In vivo exposure,B,,,26,,,,,,2,CAPS <45,0.38,,,bryant2008_Completer_B_26_2
31196,bryant2008,ITT,In vivo exposure,In vivo exposure,B,,,0,1,CAPS <19,0.35,,,,,,,,bryant2008_ITT_B_0_1
31196,bryant2008,ITT,In vivo exposure,In vivo exposure,B,,,26,1,CAPS <19,0.31,,,1,CAPS <19 and BDI <10,0.18,,,bryant2008_ITT_B_26_1
31196,bryant2008,ITT,In vivo exposure,In vivo exposure,B,,,26,,,,,,2,CAPS <45,0.29,,,bryant2008_ITT_B_26_2
31196,bryant2008,Completer,Imaginal exposure + In vivo exposure,Trauma-focused cognitive behavioral therapy (TF-CBT),C,,,0,1,CAPS <19,0.52,,,,,,,,bryant2008_Completer_C_0_1
